,ACVRL1,AKAP13,ATP11A,BTRC,DEPTOR,DPP9,DSP,FAM13A,FKBP5,FUT6,GPR157,IL7,KIF15,MAD1L1,MUC5B,NPRL3,PSKH1,RIPK4,TERT,TOLLIP
ACH-000015,-0.024921688073804578,0.05835158618082054,-0.014162695057562704,0.06306467671900859,-0.08662156098315199,-0.028092172737075764,-0.25249999198804146,0.10126254623367775,0.1196794652165073,0.020387921872960423,0.047785394025177036,0.016334835311410403,-0.3280996442340144,-0.24259960043332765,0.020172096187227317,,0.37780180693884946,0.022446650663594088,0.037710065148228084,-0.05351391262285024
ACH-000045,-0.11261330295659028,0.11047283820657348,-0.007612909985396075,-0.1386551707576511,-0.26951043797837876,-0.3663431075890433,-0.21258912817114473,0.008772553845952949,0.05800472559722346,-0.15551581383398974,0.138752280061705,0.17087412241834113,0.0116442710352683,0.010294393983868791,0.031814783587487155,,0.4050002540411959,0.00769589872062483,-0.8610644587748182,-0.01995624652722286
ACH-000094,-0.3059773105933259,0.05949225664081627,0.18853680813903548,0.019639150789167004,-0.09664538218802708,-0.14084291671472488,0.1737622661864609,-0.03847222865140704,0.16340337659718088,-0.25951558535354585,0.13196954784105977,0.2300609603600495,-0.21027767583947246,-0.09541112531341081,-0.20776882829173476,,0.1809476090160247,0.18451319047701212,0.02527005384784939,0.05740682077547804
ACH-000096,0.050097864396871895,0.01384471531347103,-0.0037251151213517214,0.17049633495638897,-0.3004421121691856,-0.18251821700376922,-0.2059732284681554,0.09092444317418115,0.0073084771820498065,0.34552952442145685,0.1437042118309332,0.1496406785381162,-0.3355599824031138,0.11389320709353534,-0.11120267016369356,,0.40442751677541566,-0.11920388092452572,-0.09446093044118137,0.07367412079475802
ACH-000099,-0.04331140828596459,0.05441701051661145,0.07232553399024604,0.0015528676922509366,0.08286426827195327,-0.3634017893717374,-0.0032082557624796976,-0.05296616997601576,0.07926387397282723,0.031833701795383376,0.16188935378596062,0.019490457118926233,-0.11214413853100112,-0.38067567573616967,0.018200807974053795,,0.2709288193223476,-0.2091262570797482,-0.21920141795503678,0.042986745099812255
ACH-000167,-0.031279111133437114,-0.1344232172127741,0.16154042454903464,-0.1636663654712753,-0.0005436878319759406,-0.03710465610210315,-0.40137569050110267,0.24452884438374944,-0.028289652822820734,0.10931531331609248,-0.054183100575128915,-0.007026743147564157,0.03567107319624832,-0.25440227381166103,-0.09314663794291886,,0.3675834201162762,0.00520969326130144,0.3052564998741192,0.1068379013114748
ACH-000178,-0.0726833794491305,-0.07689605434561197,0.01104164267642581,-0.12439982783624062,0.13690165892907902,0.09442492395231139,-0.13649086763239582,-0.032331899343539514,0.14677033534358339,-0.06042177853649892,0.14270229636785198,0.055887277175334815,-0.03893424116102459,0.25479079428799256,-0.0944413832360812,,0.1402843163947179,-0.03958061690413716,-0.19132623065051102,-0.17000961886078444
ACH-000213,0.12711506221101984,-0.17707485035149434,0.07914659465218979,0.15167668394792186,-0.016437248623039146,0.000779794316557017,0.03681809951777437,-0.014286482015209837,0.4419599569838313,-0.17292388695060268,-0.04735330504698321,0.14232411273103046,0.00046563530384130525,-0.12135860542246261,-0.14546722649199967,,0.04547440966223981,-0.33410130056310033,0.03792473890699598,0.052668699732225044
ACH-000216,0.043783485767684344,0.01861101645609088,-0.018699462540344203,-0.1693685572731552,-0.1154211526462819,-0.1253343973944482,-0.09446596580380165,0.10464079734255796,0.01266106360899736,-0.18896642386827303,-0.05440136198799511,0.05741583420517519,-0.22311877728503654,-0.15560751999658334,0.03767335564995536,,0.0678545725421142,-0.2713620840016906,-0.06008872165369077,-0.008909240377786606
ACH-000223,0.0660633660892677,0.16764470534371842,0.03483871567720913,-0.19469416576926749,-0.02188527235909546,-0.1779575731353127,-0.0671915720182893,0.014497610739245256,-0.06061435957523636,-0.11825693137412704,-0.07469806898256977,0.2142642475904661,-0.19567876265650963,-0.12956658901731904,0.1482529456299227,,0.2764958054226627,0.13610663024530278,-0.021765467320971184,0.08891666908898707
ACH-000247,-0.17904090307530576,0.222535958264901,-0.02308410738069461,-0.12424221251922068,0.07785184553898429,-0.11242530188371194,0.27190047736713535,-0.011979814459178062,0.24753485113391024,-0.07018562755326258,-0.011541494591427743,0.03080674974133779,0.16966862337395322,-0.12719242855294557,0.10238714935654215,,0.05828292643386794,-0.03508205445786824,-0.4409349916751171,0.14545047562759483
ACH-000261,-0.007655197762339569,0.05571434394741037,0.04412422134641926,-0.13119714721949868,-0.004286715570832128,-0.08170144449397722,-0.08159109168316031,0.08077863460992663,-0.048290318619742,-0.07860565423776543,0.05066186091040069,0.2475778690327658,-0.12633298294407286,0.14345048742693695,-0.023439417993250965,,0.1416546847456668,-0.12080801062405977,-0.07696928250555145,0.06750141115323027
ACH-000262,0.22673158751192582,0.1989986706794036,0.09637783895908378,-0.025078852404309238,-0.14003161004493206,-0.0722928493479316,0.08888667752415881,0.16388731319243163,0.13960692956246248,-0.15679898614881965,0.1616091969365757,0.06524808427011557,-0.29669486861409344,0.42475179160035226,-0.2976962589865143,,0.03590233901410195,-0.12723976790098568,-0.1230073110041029,0.022738800029246373
